Date,Type,Class,Color,Weight,Price(C)
2020-12-01,R,Steer,BLK,765,171
2020-12-01,R,Steer,BLK,730,180
2020-12-01,R,Steer,BLK,636,186
2020-12-01,R,Steer,BLK,645,184
2020-12-01,R,Steer,RED/BL,637,169
2020-12-01,R,Heifer,BLK,570,175
2020-12-01,R,Steer,GWF,645,171
2020-12-01,R,Steer,RED/BL,725,149
2020-12-01,R,Steer,BLK,720,156
2020-12-01,R,Steer,BLK,735,140
2020-12-01,R,Steer,BLK,625,168
2020-12-01,R,Steer,BLK,645,158
2020-12-01,R,Bull,BLK,930,120
2020-12-01,SL,Cow,TAN,1570,61.25
,,,,,
2020-08-11,R,Steer,BLK,795,183.5
2020-08-11,R,Steer,BLK,745,184.5
2020-08-11,R,Heifer,SIL,685,170
2020-08-11,R,Heifer,BKWH,830,168
2020-08-11,R,Bull,BLK,590,189.5
2020-08-11,R,Heifer,BLK,660,173.5
2020-08-11,R,Heifer,BLK,650,151.5
2020-08-11,SL,Cow,BLK,1260,89.5
2020-08-11,SL,Cow,BLK,1415,94.5
2020-08-11,SL,Cow,RBL,1625,86.5
2020-08-11,SL,Cow,BLK,1470,85.75
2020-08-11,SL,Cow,TAN,1650,84.25
2020-08-11,SL,Cow,BLK,1195,74.75
2020-08-11,SL,Bull,BLK,1995,115.25
